HHID  1 - 6
PN  7 - 9
NSUBHH  10 - 10
MSUBHH  11 - 11
NPN_SP  12 - 14
NCSR  15 - 15
NFAMR  16 - 16
NFINR  17 - 17
NC231  18 - 18
NC234  19 - 19
NC235  20 - 20
NC239  21 - 21
NC248  22 - 22
NC185  23 - 23
NC001  24 - 24
NC002  25 - 25
NC005  26 - 26
NC006  27 - 27
NC008  28 - 28
NC009  29 - 29
NC211  30 - 30
NC212  31 - 34
NC213  35 - 35
NC010  36 - 36
NC214  37 - 40
NC011  41 - 41
NC012  42 - 42
NC236  43 - 43
NC015  44 - 44
NC016  45 - 45
NC017  46 - 46
NC215  47 - 47
NC216  48 - 51
NC217  52 - 52
NC018  53 - 53
NC019  54 - 54
NC020  55 - 55
NC232U1  56 - 56
NC021M1  57 - 58
NC021M2  59 - 60
NC021M3  61 - 62
NC021M4  63 - 64
NC021M5  65 - 66
NC021M6  67 - 68
NC023  69 - 69
NC024  70 - 70
NC028  71 - 74
NC029  75 - 76
NC030  77 - 77
NC031  78 - 78
NC032  79 - 79
NC033  80 - 80
NC034  81 - 81
NC035  82 - 82
NC036  83 - 83
NC037  84 - 84
NC038  85 - 85
NC039  86 - 86
NC257  87 - 87
NC258  88 - 91
NC259  92 - 93
NC274  94 - 94
NC275  95 - 96
NC276  97 - 100
NC277  101 - 102
NC040  103 - 103
NC041  104 - 104
NC042  105 - 105
NC043  106 - 109
NC044  110 - 111
NC260  112 - 112
NC261  113 - 116
NC262  117 - 118
NC045  119 - 119
NC046  120 - 120
NC047  121 - 121
NC263  122 - 122
NC264  123 - 126
NC265  127 - 128
NC048  129 - 129
NC049  130 - 130
NC050  131 - 131
NC266  132 - 132
NC267  133 - 136
NC268  137 - 138
NC269  139 - 139
NC282  140 - 140
NC270M1  141 - 142
NC270M2  143 - 144
NC051  145 - 145
NC052  146 - 146
NC053  147 - 147
NC054  148 - 148
NC055  149 - 149
NC060  150 - 150
NC061  151 - 151
NC062  152 - 152
NC064  153 - 156
NC063  157 - 158
NC065  159 - 159
NC271  160 - 160
NC066  161 - 161
NC067  162 - 162
NC068  163 - 163
NC272  164 - 164
NC273  165 - 165
NC210  166 - 166
NC070  167 - 167
NC071  168 - 168
NC072  169 - 169
NC074  170 - 170
NC075  171 - 171
NC076  172 - 172
NC218  173 - 173
NC077M1  174 - 174
NC077M2  175 - 175
NC077M3  176 - 176
NC077M4  177 - 177
NC219  178 - 178
NC220  179 - 179
NC221  180 - 180
NC222  181 - 181
NC240  182 - 182
NC246  183 - 183
NC280  184 - 184
NC281  185 - 185
NC079  186 - 186
NC080  187 - 188
NC081  189 - 189
NC082  190 - 190
NC087  191 - 191
NC088  192 - 193
NC089  194 - 194
NC090  195 - 195
NC091  196 - 196
NC092  197 - 197
NC093  198 - 198
NC095  199 - 199
NC096  200 - 200
NC097  201 - 201
NC098  202 - 202
NC099  203 - 203
NC100  204 - 204
NC101  205 - 205
NC237  206 - 206
NC102  207 - 207
NC103  208 - 208
NC083  209 - 209
NC084  210 - 210
NC085  211 - 211
NC086  212 - 212
NC232U2  213 - 213
NC233  214 - 214
NC104  215 - 215
NC105  216 - 216
NC106  217 - 217
NC107  218 - 218
NC108M1M  219 - 221
NC108M2M  222 - 224
NC278  225 - 225
NC109  226 - 226
NC110  227 - 227
NC279  228 - 228
NC112  229 - 229
NC113  230 - 230
NC249  231 - 231
NC250  232 - 234
NC251  235 - 235
NC252  236 - 236
NC253  237 - 238
NC253A  239 - 242
NC254  243 - 243
NC255  244 - 244
NC256  245 - 245
NC114  246 - 246
NC223  247 - 247
NC224  248 - 248
NC225  249 - 249
NC116  250 - 250
NC117  251 - 251
NC118  252 - 254
NC119  255 - 255
NC120  256 - 257
NC121  258 - 261
NC122  262 - 263
NC123  264 - 266
NC124  267 - 268
NC125  269 - 270
NC126  271 - 274
NC127  275 - 276
NC128  277 - 277
NC129  278 - 278
NC130  279 - 280
NC131  281 - 282
NC134  283 - 283
NC135  284 - 284
NC136  285 - 285
NC137  286 - 286
NC138  287 - 287
NC139  288 - 290
NC140  291 - 291
NC226  292 - 295
NC228  296 - 298
NC228A  299 - 302
NC141  303 - 303
NC142  304 - 308
NC143  309 - 309
NC144  310 - 310
NC145  311 - 311
NC146  312 - 312
NC147  313 - 313
NC148  314 - 314
NC149  315 - 315
NC229  316 - 317
NC150  318 - 318
NC151  319 - 319
NC152  320 - 320
NC153  321 - 321
NC154  322 - 322
NC155  323 - 323
NC156  324 - 324
NC157  325 - 325
NC158  326 - 326
NC159  327 - 327
NC160  328 - 328
NC161  329 - 329
NC162  330 - 330
NC163  331 - 332
NC164  333 - 334
NC165  335 - 335
NC166  336 - 337
NC167  338 - 338
NC168  339 - 339
NC169  340 - 340
NC170  341 - 341
NC171  342 - 342
NC172  343 - 343
NC173  344 - 344
NC174  345 - 345
NC175  346 - 346
NC176  347 - 347
NC177  348 - 348
NC178  349 - 349
NC179  350 - 351
NC180  352 - 353
NC181  354 - 354
NC182  355 - 356
NC183  357 - 357
NVDATE  358 - 358
NVERSION  359 - 359
