HHID  1 - 6
PN  7 - 9
MSUBHH  10 - 10
LSUBHH  11 - 11
MPN_SP  12 - 14
MCSR  15 - 15
MFAMR  16 - 16
MFINR  17 - 17
MNURSHM  18 - 18
MPMELIG  19 - 19
MI800  20 - 20
MI846  21 - 21
MI802  22 - 22
MI803  23 - 23
MI938  24 - 24
MI954M1  25 - 26
MI954M2  27 - 28
MI954M3  29 - 30
MI954M4  31 - 32
MI954M5  33 - 34
MI954M6  35 - 36
MI913  37 - 37
MI941M1  38 - 39
MI941M2  40 - 41
MI941M3  42 - 43
MI941M4  44 - 45
MI941M5  46 - 47
MI922  48 - 48
MI943M1  49 - 50
MI943M2  51 - 52
MI943M3  53 - 54
MI943M4  55 - 56
MI943M5  57 - 58
MI936  59 - 59
MI937  60 - 60
MI948  61 - 61
MI950  62 - 62
MI952  63 - 63
MI854  64 - 64
MI855M1  65 - 66
MI855M2  67 - 68
MI855M3  69 - 70
MI855M4  71 - 72
MI855M5  73 - 74
MI857  75 - 82
MI859  83 - 85
MI860  86 - 88
MI861  89 - 91
MI862  92 - 99
MI864  100 - 102
MI865  103 - 105
MI866  106 - 108
MI867  109 - 116
MI869  117 - 119
MI870  120 - 122
MI871  123 - 125
MI872  126 - 126
MI873  127 - 127
MI874  128 - 128
MI875  129 - 129
MI804  130 - 130
MI805M1  131 - 132
MI805M2  133 - 134
MI805M3  135 - 136
MI805M4  137 - 138
MI805M5  139 - 140
MI807  141 - 143
MI808  144 - 146
MI809  147 - 149
MI810  150 - 150
MI811  151 - 151
MI812  152 - 152
MI813M1  153 - 154
MI813M2  155 - 156
MI813M3  157 - 158
MI813M4  159 - 160
MI813M5  161 - 162
MI815  163 - 163
MI816  164 - 168
MI851  169 - 173
MI852  174 - 178
MI853  179 - 183
MI817  184 - 184
MI818  185 - 185
MI819  186 - 186
MI876  187 - 187
MI877M1  188 - 189
MI877M2  190 - 191
MI877M3  192 - 193
MI877M4  194 - 195
MI877M5  196 - 197
MI879  198 - 200
MI880  201 - 205
MI881  206 - 206
MI883  207 - 207
MI884M1  208 - 209
MI884M2  210 - 211
MI884M3  212 - 213
MI884M4  214 - 215
MI884M5  216 - 217
MI886  218 - 220
MI887  221 - 225
MI888  226 - 226
MI889  227 - 227
MI891  228 - 228
MI893  229 - 229
MI894M1  230 - 231
MI894M2  232 - 233
MI894M3  234 - 235
MI894M4  236 - 237
MI894M5  238 - 239
MI896  240 - 241
MI897  242 - 249
MI898  250 - 250
MI899  251 - 251
MI902  252 - 252
MI820  253 - 253
MI821M1  254 - 255
MI821M2  256 - 257
MI821M3  258 - 259
MI821M4  260 - 261
MI821M5  262 - 263
MI823  264 - 269
MI824  270 - 275
MI825  276 - 276
MI828  277 - 277
MI830  278 - 278
MI831  279 - 279
MI832M1  280 - 281
MI832M2  282 - 283
MI832M3  284 - 285
MI832M4  286 - 287
MI832M5  288 - 289
MI834  290 - 297
MI835  298 - 298
MI837  299 - 299
MI903  300 - 300
MI838  301 - 301
MI839M1  302 - 303
MI839M2  304 - 305
MI839M3  306 - 307
MI839M4  308 - 309
MI839M5  310 - 311
MI841  312 - 317
MI842  318 - 318
MI844  319 - 319
MI947  320 - 320
MI904  321 - 321
MI905M1  322 - 323
MI905M2  324 - 325
MI905M3  326 - 327
MI905M4  328 - 329
MI905M5  330 - 331
MI907  332 - 337
MI908M1  338 - 339
MI908M2  340 - 341
MI908M3  342 - 343
MI908M4  344 - 345
MI910  346 - 346
MI911  347 - 347
MI912  348 - 348
MI914  349 - 349
MI915  350 - 350
MI916M1  351 - 352
MI916M2  353 - 354
MI916M3  355 - 356
MI916M4  357 - 358
MI918  359 - 359
MI919M1  360 - 361
MI919M2  362 - 363
MI919M3  364 - 365
MI921  366 - 366
MI923  367 - 367
MI924M1  368 - 369
MI924M2  370 - 371
MI924M3  372 - 373
MI926M1  374 - 375
MI926M2  376 - 377
MI926M3  378 - 379
MI928  380 - 380
MI929  381 - 381
MI945  382 - 382
MI930  383 - 383
MI931  384 - 384
MI845  385 - 385
MVDATE  386 - 386
MVERSION  387 - 389
